,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
2866,25,65000,RENT,1.0,HOMEIMPROVEMENT,A,3000,8.49,0,0.05,N,4
7927,24,55000,MORTGAGE,8.0,DEBTCONSOLIDATION,A,10000,5.79,0,0.18,N,3
3723,24,22000,RENT,3.0,MEDICAL,C,4000,13.92,0,0.18,N,3
28688,27,65000,RENT,0.0,HOMEIMPROVEMENT,B,12000,,0,0.18,N,7
29991,43,43000,MORTGAGE,5.0,MEDICAL,B,15000,8.88,0,0.35,N,12
6108,26,17376,RENT,1.0,VENTURE,B,6000,10.99,1,0.35,N,3
9372,22,61500,MORTGAGE,5.0,VENTURE,A,30000,6.62,0,0.49,N,3
2098,21,26400,RENT,0.0,EDUCATION,C,2400,14.79,0,0.09,Y,2
4714,24,42000,MORTGAGE,4.0,VENTURE,B,1200,11.49,0,0.03,N,3
1940,22,70028,RENT,7.0,VENTURE,B,2000,,0,0.03,N,3
27827,30,250000,OWN,8.0,MEDICAL,D,15000,15.99,0,0.06,Y,8
11779,22,75744,MORTGAGE,6.0,VENTURE,B,6700,11.83,0,0.09,N,2
32357,53,34000,MORTGAGE,0.0,MEDICAL,B,10000,10.39,1,0.29,N,30
13444,23,92000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15000,9.91,0,0.16,N,2
28174,27,75000,MORTGAGE,4.0,VENTURE,B,6625,,0,0.09,N,9
21293,35,46654,MORTGAGE,19.0,EDUCATION,B,17000,11.83,0,0.36,N,10
32254,42,13200,RENT,4.0,VENTURE,C,2500,,1,0.19,Y,15
20970,30,50000,RENT,5.0,MEDICAL,B,5000,11.14,0,0.1,N,8
27614,28,150000,MORTGAGE,6.0,VENTURE,A,10000,8.07,0,0.07,N,8
25912,28,68000,MORTGAGE,12.0,MEDICAL,F,24500,18.3,1,0.31,Y,6
27298,28,130000,MORTGAGE,1.0,EDUCATION,D,5600,15.65,0,0.04,N,9
12939,23,85596,MORTGAGE,5.0,EDUCATION,B,6000,10.0,0,0.07,N,3
28078,27,31000,RENT,0.0,PERSONAL,B,4000,10.74,0,0.13,N,10
27603,29,150000,MORTGAGE,12.0,PERSONAL,A,7000,9.32,0,0.05,N,6
29229,46,170000,MORTGAGE,13.0,HOMEIMPROVEMENT,B,7200,9.91,0,0.04,N,12
32026,37,22800,OWN,18.0,EDUCATION,A,7000,6.03,0,0.31,N,12
11197,24,50004,RENT,2.0,VENTURE,C,10000,13.79,0,0.2,Y,4
30653,36,60000,MORTGAGE,2.0,EDUCATION,C,8000,13.92,0,0.13,N,15
2497,23,18000,RENT,1.0,HOMEIMPROVEMENT,B,3000,11.71,1,0.17,N,4
25592,30,36000,OWN,14.0,HOMEIMPROVEMENT,C,4000,13.49,0,0.11,N,10
16697,24,60000,RENT,4.0,EDUCATION,A,12000,8.9,0,0.2,N,3
7186,24,82000,RENT,8.0,EDUCATION,B,7000,10.0,0,0.09,N,4
29330,36,84000,RENT,0.0,EDUCATION,B,20000,9.64,1,0.24,N,16
27244,30,130000,MORTGAGE,14.0,VENTURE,B,4000,,0,0.03,N,6
31462,38,96000,MORTGAGE,0.0,PERSONAL,C,1500,14.26,0,0.02,N,14
685,25,63000,RENT,3.0,MEDICAL,B,20000,12.42,1,0.32,N,3
786,22,87000,RENT,5.0,DEBTCONSOLIDATION,C,20000,13.85,0,0.23,N,4
15352,22,130000,MORTGAGE,2.0,EDUCATION,B,13000,11.14,0,0.1,N,3
13026,25,87000,MORTGAGE,10.0,HOMEIMPROVEMENT,A,7000,7.51,0,0.08,N,4
4222,23,38004,RENT,2.0,EDUCATION,A,4500,7.88,0,0.12,N,2
3024,23,35000,OTHER,0.0,PERSONAL,B,12800,11.83,1,0.37,N,2
2250,21,31200,RENT,0.0,EDUCATION,C,13000,13.11,1,0.42,Y,2
6053,21,18000,RENT,2.0,DEBTCONSOLIDATION,C,5800,14.72,1,0.32,Y,4
19579,28,62000,RENT,2.0,PERSONAL,B,3000,9.96,0,0.05,N,9
17849,33,468000,MORTGAGE,14.0,DEBTCONSOLIDATION,D,3750,15.62,1,0.01,Y,10
5550,26,67500,RENT,1.0,MEDICAL,B,5000,12.18,0,0.07,N,3
8521,25,58000,MORTGAGE,5.0,HOMEIMPROVEMENT,D,10000,13.24,0,0.17,N,4
8725,22,60000,MORTGAGE,6.0,EDUCATION,B,3950,10.65,0,0.07,N,2
11400,24,74360,OWN,7.0,VENTURE,A,25000,,0,0.34,N,4
17534,22,64000,RENT,5.0,DEBTCONSOLIDATION,A,6600,8.9,0,0.1,N,4
30768,42,65000,OWN,6.0,EDUCATION,A,22750,8.9,0,0.35,N,12
13455,23,41000,RENT,1.0,DEBTCONSOLIDATION,C,12500,13.57,0,0.3,N,4
10211,26,53000,RENT,7.0,VENTURE,B,9600,11.71,0,0.18,N,2
9481,22,62000,OWN,1.0,VENTURE,B,10000,11.58,0,0.16,N,2
2067,23,13000,RENT,0.0,PERSONAL,E,2400,16.82,1,0.18,N,3
6658,26,48700,RENT,0.0,MEDICAL,D,6000,14.59,1,0.12,N,3
14616,25,110000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,15000,7.88,0,0.14,N,2
27021,32,120000,MORTGAGE,16.0,HOMEIMPROVEMENT,B,5600,10.75,0,0.05,N,10
25486,33,85000,MORTGAGE,0.0,DEBTCONSOLIDATION,C,5000,13.61,0,0.06,Y,7
15692,25,39000,RENT,9.0,VENTURE,D,15200,16.0,1,0.39,N,3
24809,29,88000,RENT,7.0,HOMEIMPROVEMENT,A,10000,7.51,0,0.11,N,5
17194,23,100000,MORTGAGE,2.0,DEBTCONSOLIDATION,A,14000,6.17,0,0.14,N,4
1542,23,27600,MORTGAGE,,EDUCATION,A,9800,7.29,0,0.36,N,4
1321,23,26000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,7800,10.59,0,0.3,N,4
9908,24,46000,RENT,4.0,PERSONAL,C,9000,13.22,0,0.2,N,3
16320,24,60140,RENT,2.0,DEBTCONSOLIDATION,A,7000,8.59,0,0.12,N,4
12542,23,65025,MORTGAGE,7.0,MEDICAL,C,16000,14.35,1,0.21,N,3
20200,27,39000,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6900,12.87,0,0.18,N,9
11974,23,78000,MORTGAGE,2.0,VENTURE,A,6000,6.91,0,0.08,N,4
22558,27,85000,RENT,0.0,VENTURE,A,7200,7.68,0,0.08,N,10
21445,27,48000,MORTGAGE,4.0,MEDICAL,A,5000,6.99,0,0.1,N,7
15051,22,25000,OWN,6.0,VENTURE,A,13000,7.88,0,0.52,N,3
22393,28,55000,MORTGAGE,7.0,MEDICAL,A,8000,,0,0.15,N,8
13124,23,88500,MORTGAGE,2.0,EDUCATION,C,5000,13.99,0,0.06,N,4
19463,34,48000,RENT,4.0,VENTURE,B,3000,11.83,0,0.06,N,10
31954,40,15864,RENT,,DEBTCONSOLIDATION,B,2375,11.11,0,0.15,N,12
8063,24,50000,RENT,0.0,VENTURE,B,7200,11.71,0,0.14,N,2
7619,24,75000,RENT,4.0,VENTURE,B,6400,10.36,0,0.09,N,4
23238,31,60000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,9600,10.08,0,0.16,N,8
31659,37,120000,MORTGAGE,5.0,PERSONAL,A,5400,5.99,0,0.04,N,17
27626,29,153000,OWN,13.0,VENTURE,B,3000,10.74,0,0.02,N,8
29626,45,50400,RENT,2.0,HOMEIMPROVEMENT,C,12000,12.87,0,0.24,Y,13
23148,35,60000,MORTGAGE,12.0,DEBTCONSOLIDATION,C,25000,12.73,0,0.42,N,8
10358,24,23700,RENT,8.0,VENTURE,A,10000,9.32,1,0.42,N,4
8862,22,43200,RENT,2.0,EDUCATION,A,8000,5.99,0,0.19,N,3
28664,28,30000,RENT,7.0,VENTURE,B,10000,10.38,1,0.33,N,5
7065,25,56004,RENT,3.0,MEDICAL,C,7000,14.22,0,0.12,N,4
9673,24,63000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,7000,,0,0.11,N,3
15714,24,156000,MORTGAGE,6.0,MEDICAL,C,15000,13.57,0,0.1,Y,4
1623,24,48720,RENT,2.0,MEDICAL,C,1500,14.35,0,0.03,Y,2
29468,37,28500,MORTGAGE,6.0,EDUCATION,A,1800,6.76,0,0.06,N,12
13098,25,93000,RENT,3.0,EDUCATION,B,12000,,0,0.13,N,3
6584,25,49000,RENT,8.0,EDUCATION,C,6000,,0,0.12,Y,2
13258,22,44000,RENT,0.0,MEDICAL,D,12250,15.99,1,0.28,Y,2
4860,22,42000,MORTGAGE,1.0,EDUCATION,A,13000,,0,0.31,N,4
7046,25,51000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,7000,7.88,0,0.14,N,4
21880,27,50000,MORTGAGE,1.0,PERSONAL,A,3000,7.68,0,0.06,N,5
7250,23,30000,RENT,0.0,EDUCATION,C,6300,14.35,0,0.21,N,4
4887,23,38004,RENT,5.0,VENTURE,A,5000,6.91,0,0.13,N,2
2849,22,60000,RENT,2.0,PERSONAL,B,3000,11.89,0,0.05,N,4
25756,30,72000,RENT,12.0,EDUCATION,A,12400,,0,0.17,N,5
20136,34,30000,RENT,2.0,PERSONAL,A,4000,7.51,0,0.13,N,7
13038,23,87000,MORTGAGE,2.0,PERSONAL,D,25000,14.96,0,0.29,Y,2
7900,24,55000,MORTGAGE,1.0,DEBTCONSOLIDATION,A,8000,8.49,0,0.15,N,3
6352,22,49000,MORTGAGE,6.0,VENTURE,A,4000,8.94,0,0.08,N,2
2315,26,31303,MORTGAGE,7.0,MEDICAL,A,12000,,0,0.38,N,2
11603,21,75000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,10000,,0,0.13,N,3
16815,23,12000,RENT,0.0,EDUCATION,A,2100,8.94,1,0.17,N,2
17748,22,88512,MORTGAGE,6.0,EDUCATION,A,3000,5.79,0,0.03,N,2
27270,35,54000,RENT,1.0,VENTURE,E,15000,15.88,1,0.28,Y,8
9864,24,65000,MORTGAGE,8.0,VENTURE,D,7200,17.58,0,0.11,Y,4
1096,25,44000,RENT,6.0,EDUCATION,B,17500,12.53,1,0.4,N,4
21743,29,47000,RENT,8.0,EDUCATION,D,6000,17.49,1,0.13,N,7
3067,24,39000,RENT,0.0,DEBTCONSOLIDATION,A,3250,8.94,1,0.08,N,2
18320,33,50000,RENT,0.0,HOMEIMPROVEMENT,A,20400,6.54,1,0.41,N,7
27684,27,163232,MORTGAGE,5.0,VENTURE,B,4800,11.71,0,0.03,N,8
28286,28,35000,RENT,0.0,PERSONAL,B,3000,11.11,1,0.09,N,8
3748,23,26000,RENT,1.0,EDUCATION,B,4000,,0,0.15,N,4
13228,26,90000,MORTGAGE,5.0,EDUCATION,A,8000,5.42,0,0.09,N,3
1794,25,24000,RENT,4.0,MEDICAL,D,2000,16.59,0,0.08,N,2
19029,32,30000,MORTGAGE,0.0,VENTURE,A,9000,5.42,0,0.3,N,9
21993,27,51000,OWN,3.0,HOMEIMPROVEMENT,A,3500,7.88,0,0.07,N,5
31407,46,92000,MORTGAGE,18.0,EDUCATION,A,12925,,0,0.14,N,17
29678,47,35000,OWN,9.0,PERSONAL,B,2500,,0,0.07,N,12
28469,33,160000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,22000,10.75,0,0.14,N,9
13304,21,37423,RENT,5.0,VENTURE,A,2800,7.88,0,0.07,N,4
8649,23,30000,RENT,0.0,MEDICAL,C,8000,13.49,0,0.27,Y,2
20776,29,42000,RENT,3.0,MEDICAL,D,5000,15.99,0,0.12,Y,6
26426,31,101000,MORTGAGE,6.0,PERSONAL,A,12000,9.63,0,0.12,N,7
27960,29,240000,MORTGAGE,11.0,PERSONAL,D,35000,14.91,0,0.15,N,6
25087,27,80000,MORTGAGE,3.0,DEBTCONSOLIDATION,B,3000,11.11,0,0.04,N,7
27437,34,140000,MORTGAGE,8.0,EDUCATION,A,12000,7.29,0,0.09,N,8
21681,28,50000,MORTGAGE,,EDUCATION,A,15000,6.99,0,0.3,N,10
862,22,23000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,4800,10.0,0,0.21,N,4
660,23,54000,RENT,6.0,DEBTCONSOLIDATION,D,20000,14.84,1,0.37,Y,3
22833,30,52500,MORTGAGE,14.0,EDUCATION,A,10000,9.63,1,0.19,N,8
17544,22,36000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,5250,,0,0.15,N,2
24484,29,55000,RENT,2.0,DEBTCONSOLIDATION,B,10000,12.53,0,0.18,N,9
30563,36,25000,RENT,4.0,MEDICAL,D,8000,15.65,1,0.32,N,13
5207,23,44340,OWN,0.0,VENTURE,C,3000,12.98,0,0.07,Y,3
25011,28,80000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,9000,12.69,0,0.11,N,6
19205,30,32040,RENT,,EDUCATION,C,13275,,1,0.41,N,5
13205,23,90000,MORTGAGE,5.0,PERSONAL,A,15000,6.03,0,0.17,N,3
24611,29,63000,RENT,13.0,MEDICAL,A,10000,7.49,0,0.16,N,8
30972,37,72000,MORTGAGE,12.0,VENTURE,A,5600,5.42,0,0.08,N,15
28866,28,80000,MORTGAGE,13.0,EDUCATION,B,21000,11.36,0,0.26,N,10
26479,32,84000,RENT,,PERSONAL,B,14400,11.99,0,0.17,N,6
30512,36,51000,MORTGAGE,2.0,MEDICAL,E,10000,15.68,1,0.2,N,16
21020,29,45000,OWN,13.0,VENTURE,B,15000,11.49,0,0.33,N,8
19209,31,29000,RENT,7.0,HOMEIMPROVEMENT,D,13250,17.58,1,0.46,N,6
30449,41,50000,RENT,0.0,PERSONAL,C,7000,12.87,0,0.14,Y,12
11777,23,75689,MORTGAGE,7.0,DEBTCONSOLIDATION,B,25000,11.12,0,0.33,N,4
27528,31,146000,MORTGAGE,12.0,EDUCATION,E,2500,16.7,0,0.02,N,9
30732,37,33280,RENT,2.0,DEBTCONSOLIDATION,C,8400,13.92,0,0.25,N,11
29256,38,17280,OWN,0.0,HOMEIMPROVEMENT,D,1000,16.29,0,0.06,N,11
31530,49,74880,RENT,6.0,MEDICAL,A,14300,7.51,0,0.19,N,16
19417,31,31800,RENT,6.0,DEBTCONSOLIDATION,D,3000,15.62,1,0.09,Y,9
6289,23,32124,RENT,,MEDICAL,D,6000,16.77,1,0.19,Y,3
15711,24,156000,MORTGAGE,8.0,EDUCATION,B,15000,10.25,0,0.1,N,3
29975,41,39000,RENT,0.0,VENTURE,B,5000,,0,0.13,N,15
10758,25,40000,RENT,6.0,MEDICAL,B,10000,10.0,0,0.25,N,4
20224,29,39600,MORTGAGE,0.0,EDUCATION,B,5600,10.65,0,0.14,N,8
14622,25,48000,RENT,3.0,DEBTCONSOLIDATION,B,2000,10.74,0,0.04,N,2
20705,33,35000,RENT,0.0,PERSONAL,A,5000,8.9,0,0.14,N,5
22340,29,54500,MORTGAGE,7.0,PERSONAL,D,4275,,0,0.08,N,5
31786,40,142000,MORTGAGE,8.0,VENTURE,B,15000,10.99,0,0.11,N,14
14322,25,105000,MORTGAGE,9.0,DEBTCONSOLIDATION,B,12000,,0,0.11,N,2
24971,27,79000,MORTGAGE,11.0,HOMEIMPROVEMENT,D,2875,14.59,0,0.04,Y,10
20953,35,46000,RENT,4.0,PERSONAL,C,8800,14.27,0,0.19,N,7
8917,22,48000,RENT,6.0,DEBTCONSOLIDATION,C,8000,12.99,0,0.17,Y,3
21859,27,50000,MORTGAGE,3.0,DEBTCONSOLIDATION,C,10000,12.84,0,0.2,N,10
31243,40,82531,MORTGAGE,1.0,MEDICAL,A,6000,,0,0.07,N,14
3985,23,51600,RENT,6.0,PERSONAL,B,4000,9.91,0,0.08,N,3
2638,24,45000,RENT,8.0,MEDICAL,A,3000,7.49,0,0.07,N,4
31675,38,120000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,24250,,0,0.2,N,12
32257,37,21600,RENT,7.0,MEDICAL,B,3000,12.18,0,0.14,N,14
12445,24,81100,MORTGAGE,8.0,PERSONAL,B,3200,,0,0.04,N,2
18029,30,69000,RENT,6.0,EDUCATION,D,25000,14.09,1,0.36,Y,5
11059,25,71711,MORTGAGE,9.0,EDUCATION,B,4800,,0,0.07,N,3
19444,30,33300,MORTGAGE,2.0,MEDICAL,A,1600,7.4,0,0.05,N,5
22706,34,57000,RENT,9.0,DEBTCONSOLIDATION,B,7500,11.14,0,0.13,N,7
7698,23,28685,RENT,3.0,DEBTCONSOLIDATION,C,7000,12.73,0,0.24,N,2
28451,29,30000,RENT,,PERSONAL,E,10200,17.99,1,0.34,N,5
14478,23,108000,OWN,2.0,VENTURE,A,35000,8.49,0,0.32,N,4
1385,26,38000,RENT,6.0,PERSONAL,C,1000,15.27,0,0.03,Y,3
8331,26,51000,MORTGAGE,10.0,MEDICAL,D,13000,15.33,1,0.25,Y,3
21670,31,50000,MORTGAGE,7.0,HOMEIMPROVEMENT,A,4800,6.03,0,0.1,N,5
25679,35,120000,RENT,4.0,HOMEIMPROVEMENT,B,12000,10.99,0,0.1,N,7
25311,32,83000,MORTGAGE,1.0,EDUCATION,A,10000,8.0,0,0.12,N,5
