label,text
2,"GF and I tried today at lunch. As expected a nice, clean store. \n\nGF went with the salad bar (i think it was $7.50 ) , I went with the New York Yankee - Hot Corned Beef and Pastrami, Swiss, your choice of mustard or mayo ( mayo with CB and Pastrami ... really ? ) on Rye ( $8 ) \n\nI was a little ticked - I initially wanted a deli Club but i was told they ran out of bacon - on a Saturday during lunch hour ?!?! So i asked the cashier, if i get it do you give me a reduced rate since there's no bacon , big surprise, the answer, \"" No ! \"" \n\nI then start to pay the tab ( $21 - included 2 drinks ) with a $100. the cashier says, \"" I don't have change for that . \"" Holy Shit Batman, here's an idea , go get some frickin' change Elroy ! So i paid with a debit card. \n\nThe food - the sammie - nice portion of meat, decent flavor but dang, they must store the meat in a vat of juice because the one side of the sammie was soaked - overall, it was good but drain the meat a little or maybe put it on a grill for a few minutes. I went with the hot mustard but they didn't come close to put enough on to add to the flavor. \n\nThe salad bar is good - nice selection of items, includes some love muffins, a few dessert items and some soft serve ice cream \n\nOf course as we left, ? Goofball cashier yells out, please come back sir i'm sure we'll have bacon for you....smart ass !"
0,Chicken Tacos where good.   Chips and guacamole were nasty.   The only flavor the chips had was a burnt taste.   Service was great.     But the food was lacking and at $4.50 per taco it isn't cheap.   Chips are extra.   So 2 small tacos $9.00.  Chips $7.00.
2,"Things I liked about Graze:\n1. The elderflower margarita \n2. The goat cheese dumplings \n3. The French fries\n\nThings I didn't like about Graze:\n1. The loud, echo-y room\n2. The hype around local when a good part of the menu is not\n3. The long wait time and not taking reservations\n\nA very nice meal but I wanted to love it more than I did. I had the Bahn Mi, which was tasty, but I wanted it to be either more authentic or more inventive. Instead it was stuck in the middle. Full of fresh Thai basil but also with dry ham that did nothing to enhance the flavor. \n\nThe service was friendly and informative and I liked the carafe of water on the table."
3,"Michael Mina makes any restaurant sound interesting.\n\nA little overpriced, but not too much.\n\nA variety fries with a variety of sauces. Loved it.\nLobster fritter. Could have done without. Dough-like. Where's the lobster?\n16 oz bone-in rib eye. Flavorful! My kind of steak.\nKansas strip. Eh.\nSide of cream spiniach. Yum.\n\nAttentive waiters. Good times."
2,"I was let down by yelp.  As someone that travels to new cities non-stop and is always trying new 4.5+ yelp reviews this place is a definite miss.  The salad starter was outstanding and I was expecting the same.  The venison was requested medium rare and was provided overcooked.  We returned it and received another slightly less overcooked venison.  The ahi tuna's texture and flavor were both off (I am extremely familiar with raw fish).  The steak special was a good cut of beef but oversalted.  Maybe it's good for AZ, but in LA, this place wouldn't last a year."
0,"We had to wait 40 min. for our shuttle from the airport. The shuttle itself had an odor that could only come from some kind of excess microbial growth in the air conditioner.\n\nFor the trip back, the driver arrived and got out a cigarette to smoke. She asked if we were waiting for her shuttle. I said yes, and she proceeded to walk away and smoke her cigarette. I then got a call from the Super Shuttle office asking me to go meet the shuttle. When the driver came back, she claimed she hadn't heard me. That would have been more believable if she hadn't gotten out the cigarette as soon as she got to the hotel."
4,Home made! Authentic and delicious
0,"Ugh...just returned from my First Friday experience. and I need to take a bleach shower. Unfortunately, I could not find ANY art, anywhere...just the same old faux cool, dark, post-punk, comic book, psycho-sexualized popular culture garbage that everyone is trying to pass off as art. You know, the constant knockoffs of already tired cultural icons.. glitter paint by number portraits of Johnny Cash and Bruce Lee, Batman pornography, chollo Mickey Mouse  gang-banger tee shirts...oh, and let's not forget Betty Paige...she's always \""original.\"" Everything designed to shock and offend, nothing to elevate perception or experience. Looked in vain to find something original, inspiring or beautiful...NO luck., just lots of ugly, third rate pop culture garbage. Seems lots of people are devotees of the Andy Wharhol School. Plenty of tacky flea market style jewelry stands, lots of unruly drunk/high, aggressive high school kids with loud and filthy mouths...trash everywhere, oh...and getting back to the \""art\"" the majority of \""work\"" revolves around central themes of skulls, death, pain, violence and hopelessness because as several artists told me, \""death and suffering is always mysterious  and cool. It's what's selling now.\"" Oh...kayyyyy...if it really is true that art reveals the character of a culture, then we are all probably in BIG, BIG trouble. I know better than to ever do that again to myself."
2,"I liked the price and the food wasn't bad either. The salad bar is small in comparison to many other buffets but who goes to a buffet and eats a salad?  Right? \n\nThey have a BBQ area, stir fry and make your own pasta stations, a Mexican food area and pizza and pastas. Oh and then there's dessert. I think they may actually have more dessert than food options. Soft serve, cakes and pies, gelato and sorbets and my dad's favorite: the bread pudding. \n\nI enjoyed the breakfast buffet with the omelet station and crisp bacon!  \n\nThe waitstaff that brought your beverages and took away your dirty plates were really nice and prompt with our drinks. \n\nI had to minus a star because of the cashiers. On one occasion the cashier was rude and charged us incorrectly even after we told her numerous times how many people were in our party. She was downright sassy commenting on other people being served near us \""oh there's another one, must a full mood out tonight\""."
3,"WHERE: Located in the plaza on Charleston & Sloan.\n\nWHEN: 10am-930pm, I believe.\n\nWHY: If you happened to just recently move around this side of town, and are desperately in need of some quick and great tasting Hawaiian food, look no further!\n\nWHAT: I had got off from work and straight home to some hungry brothers of mine! We debated on what type of food to eat, and came to conclude we were all craving some good old Hawaiian food! I would usually drive that 5 minutes to Island Flavor, but the 5 minutes actually became 35 minutes from our new place! Boohooo!!! =(\n\nI then decided to search on Yelp, and I was lucky enough to spot this SPOT. Muahaha!!\n\nFirst thing's first. We step in to order. My brother and I both get the chicken combo, while my other brother gets the local plate. (Most plates are 8 bucks and well-worth the 8 bucks!!) While we are waiting for our food, the server brings us a bowl of MISO SOUP!!! C'mon, who has ever had a side of miso at a hawaiian joint!! I say BOMB.COM!!! That right there = SOLD! Haha.\n\nAfter a minute or so, we got our actual combo plates. Fast service, I may add! I loved the chicken katsu, but my bbq chicken was on the bland side.  I could suggest adding a little bit more seasoning or even bbq sauce would have done the trick! Besides my bbq chicken, everything was splendid! I will definitely come back on those chicken katsu crave days!"
